epoch,phase,train_loss,val_mAP50,val_mAP50-95,val_precision,val_recall,lr,elapsed_s
0,frozen,,0.03284,0.01301,0.04729,0.11783,0.0004459752246328784,386.2
1,frozen,,0.06363,0.02736,0.09262,0.18079,0.0004356942429338488,742.5
2,frozen,,0.11269,0.04934,0.18914,0.2067,0.00040430018638372325,1097.2
3,frozen,,0.17057,0.07602,0.36774,0.23395,0.0003554027969267121,1453.2
4,frozen,,0.21694,0.0965,0.33845,0.26099,0.0002937884917310129,1809.0
5,frozen,,0.24561,0.10954,0.45532,0.27531,0.0002254885082812879,2163.8
6,frozen,,0.25835,0.12018,0.44885,0.29225,0.00015718852483156284,2519.2
7,frozen,,0.26835,0.11979,0.46833,0.303,9.557421963586367e-05,2874.4
8,frozen,,0.28244,0.12667,0.47881,0.31331,4.667683017885243e-05,3230.4
9,frozen,,0.28539,0.13041,0.48858,0.31607,1.5282773628726842e-05,3584.8
10,frozen,,0.28562344021705355,0.13019789377011753,0.49600207785500655,0.3176855007507965,1.5282773628726842e-05,3617.9
