                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3759,                0.83041,                0.82244,                0.27112,                0.08422,                0.00761,                0.00206,                 1.2043,                0.88857,                0.72438,             6.8508e-05,             9.9941e-06,             9.9941e-06
                      2,                 1.2073,                0.70875,                0.65754,                0.04637,                 0.1221,                 0.0177,                0.00513,                 1.1179,                0.84604,                0.64023,              9.961e-06,              9.961e-06,              9.961e-06
                      3,                 1.1607,                0.74736,                0.62108,                0.07327,                0.13241,                0.03011,                0.00966,                 1.0589,                 0.8862,                0.58497,             9.8445e-06,             9.8445e-06,             9.8445e-06
                      4,                 1.1166,                0.78037,                0.58691,                 0.0862,                0.14857,                0.03936,                0.01208,                 1.0063,                0.92836,                0.54427,             9.6524e-06,             9.6524e-06,             9.6524e-06
                      5,                 1.0887,                0.79933,                0.56781,                0.09245,                 0.1594,                0.04771,                0.01537,                0.97067,                0.94127,                0.51889,             9.3877e-06,             9.3877e-06,             9.3877e-06
                      6,                 1.0561,                0.82214,                0.54402,                0.10786,                0.16627,                0.05706,                 0.0203,                0.93055,                0.96246,                 0.4837,             9.0546e-06,             9.0546e-06,             9.0546e-06
                      7,                 1.0311,                 0.8389,                 0.5272,                0.11033,                0.18232,                0.06215,                0.02289,                0.89926,                 0.9792,                0.46919,             8.6584e-06,             8.6584e-06,             8.6584e-06
                      8,                 1.0045,                0.85594,                0.50814,                 0.1298,                0.17937,                0.06867,                0.02549,                0.87579,                0.98529,                0.45124,             8.2052e-06,             8.2052e-06,             8.2052e-06
                      9,                0.98848,                0.86331,                0.49466,                0.13597,                 0.1949,                0.07628,                0.03019,                0.85316,                0.99775,                0.43303,             7.7023e-06,             7.7023e-06,             7.7023e-06
                     10,                0.96678,                0.87624,                0.48223,                 0.1428,                0.20413,                0.08453,                0.03356,                0.83368,                 1.0065,                0.42232,             7.1576e-06,             7.1576e-06,             7.1576e-06
                     11,                0.95114,                0.88391,                0.47251,                0.14506,                0.20842,                0.08748,                0.03538,                0.82093,                 1.0076,                0.41522,             6.5796e-06,             6.5796e-06,             6.5796e-06
                     12,                0.93958,                0.88887,                0.46172,                0.15598,                 0.2216,                0.09393,                0.03767,                0.81148,                   1.01,                 0.4053,             5.9775e-06,             5.9775e-06,             5.9775e-06
                     13,                0.92922,                0.89484,                0.45665,                0.14916,                0.21768,                 0.0941,                0.03853,                0.80132,                 1.0155,                0.39705,             5.3608e-06,             5.3608e-06,             5.3608e-06
                     14,                0.91875,                 0.9002,                0.44859,                0.15606,                0.22317,                0.09848,                0.04061,                0.79263,                 1.0184,                0.39119,             4.7392e-06,             4.7392e-06,             4.7392e-06
                     15,                0.90639,                0.90983,                0.44286,                0.15846,                0.22562,                0.10194,                0.04228,                0.78895,                 1.0159,                0.38324,             4.1225e-06,             4.1225e-06,             4.1225e-06
                     16,                0.73966,                 1.0473,                0.37663,                0.15943,                0.24749,                0.10873,                0.04674,                0.77354,                 1.0184,                0.37498,             3.5204e-06,             3.5204e-06,             3.5204e-06
                     17,                0.73246,                 1.0498,                0.37086,                0.16566,                0.24712,                0.11262,                0.04738,                0.76863,                 1.0169,                0.37084,             2.9424e-06,             2.9424e-06,             2.9424e-06
                     18,                0.72032,                  1.058,                0.36005,                0.16577,                0.25742,                0.11462,                  0.049,                0.76596,                 1.0149,                0.36812,             2.3977e-06,             2.3977e-06,             2.3977e-06
                     19,                0.72149,                 1.0545,                0.35515,                0.16889,                0.25498,                0.11567,                0.04855,                0.76323,                 1.0188,                0.36535,             1.8948e-06,             1.8948e-06,             1.8948e-06
