epoch,phase,train_loss,val_mAP50,val_mAP50-95,val_precision,val_recall,lr,elapsed_s
0,frozen,,0.03229,0.01055,0.3317,0.12343,0.0004459752246328784,392.1
1,frozen,,0.04495,0.01783,0.17305,0.17224,0.0004356942429338488,748.5
2,frozen,,0.05488,0.02508,0.11314,0.16636,0.00040430018638372325,1104.9
3,frozen,,0.07715,0.03444,0.22122,0.2098,0.0003554027969267121,1462.3
4,frozen,,0.1074,0.05002,0.14641,0.22937,0.0002937884917310129,1818.9
5,frozen,,0.16524,0.07357,0.32835,0.24473,0.0002254885082812879,2175.7
6,frozen,,0.19025,0.08974,0.37408,0.25642,0.00015718852483156284,2533.0
7,frozen,,0.22447,0.10313,0.4227,0.26426,9.557421963586367e-05,2890.8
8,frozen,,0.24208,0.10972,0.4181,0.29118,4.667683017885243e-05,3248.1
9,frozen,,0.24949,0.11456,0.42974,0.29578,1.5282773628726842e-05,3604.8
10,frozen,,0.2487916035958444,0.11413758694247536,0.4296331613573918,0.29518837753206556,1.5282773628726842e-05,3637.7
0,full,,0.2439,0.11105,0.32017,0.29099,4.459752246328785e-05,4231.6
1,full,,0.31776,0.14519,0.4934,0.35211,4.356942429338488e-05,4777.5
2,full,,0.35168,0.16499,0.51927,0.37779,4.043001863837233e-05,5325.1
3,full,,0.37507,0.17754,0.5468,0.39919,3.554027969267121e-05,5872.0
4,full,,0.39495,0.1847,0.56268,0.40558,2.937884917310129e-05,6418.4
5,full,,0.40279,0.18601,0.55732,0.42481,2.254885082812879e-05,6966.8
6,full,,0.41596,0.19523,0.58048,0.41616,1.5718852483156285e-05,7513.1
7,full,,0.42502,0.19978,0.58482,0.42672,9.557421963586368e-06,8061.0
8,full,,0.42825,0.2013,0.58706,0.43479,4.667683017885243e-06,8604.6
9,full,,0.42711,0.20058,0.58898,0.42775,1.5282773628726846e-06,9148.9
10,full,,0.4279953642183417,0.20115619053064265,0.5879582578983593,0.4340725070266281,1.5282773628726846e-06,9182.0
