epoch,phase,train_loss,val_mAP50,val_mAP50-95,val_precision,val_recall,lr,elapsed_s
0,frozen,,0.02717,0.01034,0.42485,0.11155,0.0004459752246328784,389.3
1,frozen,,0.05202,0.02266,0.18017,0.1738,0.0004356942429338488,748.2
2,frozen,,0.08635,0.04073,0.14851,0.19567,0.00040430018638372325,1104.3
3,frozen,,0.1409,0.06598,0.30514,0.22237,0.0003554027969267121,1460.8
4,frozen,,0.18081,0.08417,0.2619,0.23137,0.0002937884917310129,1816.5
5,frozen,,0.21697,0.09805,0.43183,0.2532,0.0002254885082812879,2171.7
6,frozen,,0.24644,0.11455,0.4627,0.2808,0.00015718852483156284,2527.8
7,frozen,,0.25496,0.11625,0.45605,0.29025,9.557421963586367e-05,2883.6
8,frozen,,0.27066,0.12093,0.47026,0.30505,4.667683017885243e-05,3239.7
9,frozen,,0.27612,0.12533,0.47705,0.31186,1.5282773628726842e-05,3595.4
10,frozen,,0.2748384223171113,0.12489011291916711,0.47472151688206915,0.3102922007588242,1.5282773628726842e-05,3627.8
0,full,,0.26848,0.11828,0.48012,0.30623,4.459752246328785e-05,4219.0
1,full,,0.34059,0.15713,0.52169,0.36337,4.356942429338488e-05,4767.2
2,full,,0.37589,0.17751,0.5532,0.38586,4.043001863837233e-05,5313.2
3,full,,0.39588,0.18634,0.56294,0.40839,3.554027969267121e-05,5859.0
4,full,,0.40635,0.1919,0.57917,0.41381,2.937884917310129e-05,6403.5
5,full,,0.40916,0.18794,0.58741,0.41328,2.254885082812879e-05,6946.8
6,full,,0.43161,0.20447,0.60288,0.41692,1.5718852483156285e-05,7492.4
7,full,,0.43096,0.20565,0.59984,0.42349,9.557421963586368e-06,8036.2
8,full,,0.43193,0.20485,0.60842,0.42204,4.667683017885243e-06,8577.0
9,full,,0.43405,0.20435,0.59628,0.42457,1.5282773628726846e-06,9119.2
10,full,,0.42929785337184156,0.20499485473183776,0.6001163581148086,0.4231024919505428,1.5282773628726846e-06,9152.1
