epoch,phase,train_loss,val_mAP50,val_mAP50-95,val_precision,val_recall,lr,elapsed_s
0,frozen,,0.03578,0.01416,0.15325,0.0959,0.0004459752246328784,392.0
1,frozen,,0.06796,0.02891,0.23266,0.17112,0.0004356942429338488,748.3
2,frozen,,0.10273,0.04689,0.16893,0.18423,0.00040430018638372325,1106.0
3,frozen,,0.12898,0.05821,0.28147,0.22001,0.0003554027969267121,1462.8
4,frozen,,0.16989,0.07692,0.36816,0.21958,0.0002937884917310129,1819.4
5,frozen,,0.20161,0.08973,0.39792,0.24944,0.0002254885082812879,2176.5
6,frozen,,0.23429,0.10756,0.43152,0.27523,0.00015718852483156284,2534.6
7,frozen,,0.24877,0.11631,0.45793,0.28271,9.557421963586367e-05,2892.6
8,frozen,,0.25469,0.11411,0.46266,0.28835,4.667683017885243e-05,3248.8
9,frozen,,0.26558,0.12142,0.47787,0.29096,1.5282773628726842e-05,3605.4
10,frozen,,0.26650114582188544,0.12187333528622918,0.4725584994265736,0.2934557550910452,1.5282773628726842e-05,3637.5
