epoch,phase,train_loss,val_mAP50,val_mAP50-95,val_precision,val_recall,lr,elapsed_s
0,frozen,,0.03319,0.01184,0.43982,0.12712,0.0004459752246328784,383.6
1,frozen,,0.06464,0.02878,0.11214,0.20085,0.0004356942429338488,739.1
2,frozen,,0.10232,0.04759,0.19136,0.19595,0.00040430018638372325,1095.4
3,frozen,,0.12756,0.05777,0.16739,0.21308,0.0003554027969267121,1450.1
4,frozen,,0.18264,0.08465,0.37371,0.24122,0.0002937884917310129,1805.2
5,frozen,,0.19223,0.08731,0.39325,0.23873,0.0002254885082812879,2159.5
6,frozen,,0.23708,0.10953,0.45259,0.27234,0.00015718852483156284,2516.6
